排名,ID,案例,最终得分
39,41094,影石&B站必达MATES人群资产共建项目,3.5
40,40948,人，AI 有话问,3.5
41,40644,康师傅味来馆,3.5
42,40640,拖更了 贾侦探,3.5
43,40594,做自己的健康冠军——安利纽崔莱X微信 开启奥运年全民互动创新营销,3.5
44,40362,形态冷门又遇口碑天崩，Pura X 在小红书找到 AHA 场景，让用户为“看不懂,3.5
45,40343,美图&百多邦，AI「证件照」打造可怕的精准创意营销,3.5
46,40017,汉堡王，即食引力计划,3.5
47,39914,来包乐事，“看”啥都有味,3.5
48,39321,蚂蚁保×《你好儿科医生3》：让少儿险知识像医生的叮嘱一样,3.5
49,39038,Passion爆梗全网出圈，《喜剧之王单口季》热度口碑双线飙升,3.5
50,41037,多邻国-让这届年轻人对学习上瘾,3.5
51,42000,当西湖水漫过红毯边界，小红书重新定义明星盛典,3.4
52,41997,小红书用一个IP传递公司使命——“inspire lives”,3.4
53,41959,首创场景需求洞察，打造科沃斯场景橱窗新品见新「机」  ,3.4
54,41927,星巴克×wmls：一口打开心中的五月天,3.4
55,41854,《我的“驳学”父亲》——贵州茅台父亲节传播战役,3.4
56,41847,和玩家一起长「大」的杜蕾斯,3.4
57,41808,2025 奥利奥“Stay planful”创意传播项目 ,3.4
58,41756,新零售6C模型数字化经营,3.4
59,41746,舒达智能床：和诞总一起三分钟把100个粉丝量加起来上亿的人哄睡了,3.4
60,41696,阿维塔挑战增程启动零感知,3.4
61,41682,《抚痕倡议》社会共创运动—为4亿中国妈妈推动改变,3.4
62,41656,以场景共振，重塑“国民饮品”——脉动的日常出行时刻,3.4
63,41641,P.AI开启派Day过节新体验,3.4
64,41632,北京同仁堂京东超级品牌日,3.4
65,41596,华为平板天生会画线上数字画展直播项目,3.4
66,41589,王老吉2025年春节蛇年长吉整合营销项目,3.4
67,41573,6小时大直播重构消费场景，《天猫双11疯狂好六夜》定义品牌“发疯营销”,3.4
68,41471,《永远22！2025bilibili毕业歌会》,3.4
69,41313,为所有熬夜焦虑找到答案，亚朵星球以「自然深睡」攻占多品类TOP1,3.4
70,41221,蓝氏乳鸽猫粮建信任复利，国货猫粮坐稳赛道TOP1,3.4
71,40772,抖音商城x游本昌中秋创意《人生满月时》,3.4
72,40761,半亩花田 x 孙颖莎 《蓬发向上》,3.4
73,40699,喜力《闪亮星电音》“Light Up城市”计划,3.4
74,40693,洗手，吃鸡,3.4
75,40692,喜力啤酒X电音三连冠，定义潮流电音星体验,3.4
76,40689,重要时刻，抬手帮你抓住TA——OPPO FindX8系列《白夜破晓》热剧营销,3.4
77,40516,「我们为什么要看电影」淘票票年度营销,3.4
78,40439,中国银联「垃圾河川」,3.4
79,40383,邯郸文旅宣传片：局长本人出镜，在线“道歉”,3.4
80,40377,760天长效种草养成记！小乌梅洗衣机书写从单品到商标的蜕变传奇,3.4
81,40353,LV&村上隆出新牌，如何成为年轻人奢品TGI第一名？,3.4
82,40342,回归即顶流：海尔老总重返社交,3.4
83,40328,康师傅冰红茶「超燃3X联赛」,3.4
84,40252,伊利，跨界场景生态赋能 • 塑造年礼“百搭”心智,3.4
85,40118,茅台，一场非遗春节里的「场景革命」,3.4
86,39928,吉利 x 百度智能体：AI心智引擎重塑用户决策链路,3.4
87,39829,腾讯穿越火线手游主题恐怖片《谜城惊变》,3.4
88,39742,AI佳沛：天然营养加速度，智链健康新生态,3.4
89,39734,OLLY× 金靖：明星营销新“靖”界！从爆品高光到爆牌大满贯！,3.4
90,39557,五菱CNY整车交易创新项目,3.4
91,39435,宝马X5贾冰共创掀起公路新风,3.4
92,39308,三棵树：深度种草实现品牌力弯道超车,3.4
93,39303,炫迈跨界餐饮品牌联动，打造佐餐聚会心智,3.4
94,39207,阿里妈妈“AI达人”加速内容生产力，助推生态极速生长 ,3.4
95,39166,石头洗衣机携手西双版·纳文旅，新品洗烘套装“烘”动泼水节,3.4
96,39144,栖作 0 胶床垫首次合作巨量星图 ip，整合星推搜链路实现品牌心智种草,3.4
97,39110,冬日治愈配方：霸王茶姬「晴山栖谷」用艺术灵感泡暖每一口时光,3.4
98,38991,《味事达鲜味冠军赛》,3.4
99,38894,M&M’ s 全新紫豆登场,3.4
100,41694,快手电商《坏年份的红酒》,3.4
101,41199,RSV疾病科普传播项目 —— 一条人类幼崽养育清单的更新提醒,3.4
102,40959,好运山东×奥运冠军《冠军山东》,3.4
103,40631,闲鱼毕业季《面包会有的》,3.4
104,42017,明星主理人×全民共创：OPPO×小红书的真实影像共创新范式,3.3
105,41999,当西湖水漫过红毯边界，小红书重新定义明星盛典,3.3
106,41973,顾家家居×小红书：打通高客单价线下品的种草路，4个月种出2万台沙发！,3.3
107,41962,创新开辟电竞人群新基因，破局高端电视红海战,3.3
108,41954,「上新是起点，上心是终点」，方太水槽洗碗机新品种收,3.3
109,41948,从品类特卖到陪伴女性成长，唯品会实现新客增长跃迁,3.3
110,41947,闲鱼以兴趣的种子，滋养用户长生命周期增长,3.3
111,41827,顺丰速运赴约系列整合营销,3.3
112,41786,会世界三部曲，霸王茶姬全球化心智与声量新高峰,3.3
113,41727,霸王茶姬×哪吒2：引爆东方美学文化自豪，掷出生意口碑双金骰,3.3
114,41721,阿里妈妈AI赋能全域经营，助力SK-II质效双赢618,3.3
115,41683,《抚痕倡议》社会共创运动—为4亿中国妈妈推动改变,3.3
116,41571,沃尔沃汽车：您守护世界，我守护您,3.3
117,41518,国货浪潮下的母子品牌破局战：首农集团「认知-转化」闭环增长,3.3
118,41507,揭秘大厂小透明，如何借爸妈生活方式逆天改命,3.3
119,41500,拯救者x《黑神话：悟空》以硬核内容登顶游戏本心智之巅,3.3
120,41494,杰士邦认真倾听女性的小抱怨，“套”住万千女性芳心,3.3
121,41434,⾃在铁⻢,3.3
122,41426,TECNO #ToneProud: 打破偏⻅，肤⾊不⽌⼀种答案,3.3
123,41420,鲜萃咖啡升级 + 9.9鲜萃有堡套餐，开启早八人活力一天！,3.3
124,41416,珀莱雅回声计划4.0——有情绪，就有情绪安放地,3.3
125,41367,宝洁x孙颖莎x新华网＃孙颖莎的追光日常＃营销传播项目,3.3
126,41306,我的斯维诗口香益生菌「好大的口气」品牌营销,3.3
127,41291,打造雀巢8次方缤纷“社交货币”，释放生意增长,3.3
128,41254,屈臣氏服务，有一手,3.3
129,41043,B站x白象《春节找乐子大会》营销活动,3.3
130,40955,凯旋1664：礼庆此刻，为节日季「开场好戏」！,3.3
131,40927,美团无人机x海绵宝宝 低空营销拉动商业增长新范式,3.3
132,40879,特步厦门马拉松被关门跑者关怀计划,3.3
133,40822,小红书「大家的春晚」2.0：一年一度春晚热议新主场,3.3
134,40804,Oral-B以最硬核方式讲圆头清洁最佳故事,3.3
135,40771,特仑苏领跑行业格局，倾情打造全球首部牛奶人文纪录片,3.3
136,40763,RIO微醺&闫妮《微醺遇见微醺》,3.3
137,40737,乘势AIGC，华润三九X医药营销玩出新增长,3.3
138,40722,伊利：过年搭子玩转年度国风悬疑IP,3.3
139,40494,荣耀power-平面设计,3.3
140,40368,闲鱼以兴趣的种子，滋养用户长生命周期增长,3.3
141,40338,华为MateXT非凡大师，解码三折叠破圈营销,3.3
142,40314,杰士邦×小红书认真倾听女性的小抱怨，“套”住万千女性芳心,3.3
143,40309,流感季为松弛妈妈支招，小葵花巧验OTC种草价值,3.3
144,40306,一条瑜伽裤卖10年？lululemon在小红书开启老产品的新春天,3.3
145,40256,新加坡旅游局，AI智能旅行新“狮”代,3.3
146,40088,#中国人爱喝开水#2024康师傅喝开水社交整合营销,3.3
147,40040,2024年喜力®啤酒电音营销战役项目,3.3
148,40014,领先一步，芯启未来,3.3
149,40013,全年浪漫日历：蒂芙尼大屏节日营销新范式,3.3
150,39926,OPPO Find X8 系列新品上市公关传播项目,3.3
151,39921,王老吉X百度营销CNY整合营销『用AI加吉，共度吉祥年』,3.3
152,39911,撞进大世界，集结小童趣,3.3
153,39910,一样COSTA，倍享我时光,3.3
154,39887,让沙宣介绍沙宣,3.3
155,39827,「AWE 达人双维共创：科技场景化 × 文化情绪化的家电品效内容新生态」,3.3
156,39754,京东买药下沉营销：听见遥远的声音，关注偏远的病需,3.3
157,39550,「玩个很新的东西」抖音商城好2节,3.3
158,39319,独家冠名抖音S+精品短剧《大话大话西游》，实现品牌声量销量双赢,3.3
159,39281,瑞幸咖啡：新品搭载热点营销，用内容释放更强消费动力,3.3
160,39169,家电奥斯卡 海尔“小金人”得奖之路,3.3
161,39157,小米小折叠新品上市ROI飙升，小折从此旗舰,3.3
162,39148,usmile在变化下寻找增长密码,3.3
163,41823,英氏X金靖 超会养的人选英氏辅食,3.3
164,42039,Insta360-灵感-共创-断货：世界影像品牌回归的增长三级跳,3.2
165,42019,从时代眼泪到国民新宠，森马高洁净羽绒服在小红书走红,3.2
166,41965,打开场景的立体想象 美的空调建构「家的气候版图」,3.2
167,41902,《自然给你点颜色看看，超威给蚊子点颜色看看》,3.2
168,41887,东鹏特饮 x 和平精英竞游联动营销,3.2
169,41862,亿级营销多次冲榜  立白大师香氛突破竞品抄袭围猎,3.2
170,41835,“声声辣喊 口口解压”——乐事大波浪焕新实现入圈、破圈、出圈,3.2
171,41834,护眼叶黄素的品类认知颠覆，0-1孵化口服届黑绷带,3.2
172,41816,全新OPPO Find X8系列暨移动智能生态新品发布会,3.2
173,41792,霸王茶姬｜史上最大规模的全国碰杯盛典,3.2
174,41757,小米×AI场景赋能共振，助力天猫小米手机618霸榜类目第一,3.2
175,41659,防敏联盟，内防外护 — 母婴跨品类联合传播项目,3.2
176,41633,京东买药国药盛典,3.2
177,41574,《从“老舅”到爆款：外星人×<大侦探>热梗实体化营销，重构IP消费闭环》,3.2
178,41542,京东家电家居《刻在中国人骨子里的名字》,3.2
179,41512,攻心战营销 解锁实力风向标,3.2
180,41502,一颗“小时候的番茄” ，在小红书种出10亿的生意,3.2
181,41325,OREO – AI Panda,3.2
182,41304,60天5000万，ROI 260+，打通家居生意增长新路径,3.2
183,41244,Soul百万婚礼1.0整合营销传播项目,3.2
184,41213,康夫吹风机飓风席卷小红书，高效搏出百万GMV,3.2
185,41188,银发符号指南,3.2
186,41179,长沙IFS 2024公共艺术计划-永恒的旅人,3.2
187,41117,名创优品潮玩季：“痛”风共创事件！,3.2
188,41099,天选NEW人-哔哩哔哩明星社团联盟计划,3.2
189,41090,伊利x甲亢哥｜来都来了,3.2
190,41025,「让沙宣介绍沙宣」-沙宣 发间漫行 70周年艺术展,3.2
191,40972,热AI一夏，咪咕携手品牌伙伴打造AI奥运营销盛宴,3.2
192,40780,vivo X200【千年非遗 一拍入戏】campaign,3.2
193,40755,踏入名创优品IP次元站！达人带你漫游二次元谷子宇宙,3.2
194,40675,蒙牛携手腾讯&美团，布局奥运首金节点，打造全民免单大事件,3.2
195,40670, “喜逢大运，闪耀山河”，精品文化营销“酒”等了！,3.2
196,40660,百奇棒！万物皆可棒！,3.2
197,40617,Grab × 华为视频：不可思议的旅行,3.2
198,40518,中国银联——成年人的暑假作业,3.2
199,40517,青绿焕新立白净界世界地球日减碳营销,3.2
200,40448,冻梨美式 冒泡吧铁汁,3.2
201,40122,泸州老窖，今日痛饮庆功酒,3.2
202,39954,阿尔卑斯，双端联动儿童种草,3.2
203,39937,天生一对的运势，有“佳音”必“捷达”,3.2
204,39912,鸿蒙品牌社会势能打造,3.2
205,39888,让沙宣介绍沙宣,3.2
206,39836,王老吉CNY 「定制长吉罐×陶喆」明星营销,3.2
207,39741,孙颖莎 × 热点冲榜助推肯德基CNY大金桶曝光出圈,3.2
208,39555,快手中国老铁为奥运加油,3.2
209,39387,美团团购，伴你左右的本地生活攻略达人,3.2
210,39222,高潜破局 闭环增势：达摩盘赋能碧然德营销全链路的增效实践,3.2
211,38891,Mercedes-AMG : 极速流光,3.2
212,39496,从“凑数配角”到“百搭 C 位”：伊利×小米 重构年礼认知,3.2
213,42015,一条瑜伽裤卖10年？lululemon在小红书开启老产品的新春天,3.1
214,41950,必胜客2025新菜单诚意致"胜"，与小红书共同打造“这家披萨超能打”,3.1
215,41897,六神 x 小红书宝藏新品：「偶滴个神蛋」破圈出击，引领户外驱蚊新潮流,3.1
216,41877,勇敢的人永远18岁：勇闯天涯superX顶峰打卡创新营销,3.1
217,41740,外资OTT情感营销,打造高端家庭场景的品牌共鸣,3.1
218,41724,行者无畏，一路向前,3.1
219,41577,《顶流种草场：三星借国民哥哥矩阵打透科技新品传播》,3.1
220,41558,自然会把大人变成小孩,3.1
221,41552,德克士德意饭庄x贾冰《好饭就得这么拌》,3.1
222,41432,200亿曝光背后：德芙与《快乐再出发3》的春节 “送福” 密码,3.1
223,41371,金典 x 《乘风2025》 ,3.1
224,41299,2024巴黎奥运会阿里云智影时刻,3.1
225,41287,宝洁<爱到日常里 才是新年礼> 春节全域营销,3.1
226,41265,亚马逊广告水手计划第四季,3.1
227,41225,iQOO Pad2系列《旗舰芯，大显身手》,3.1
228,41216,金典&玫瑰的故事：有机生活有我定义，玫瑰绽放见证礼,3.1
229,41203,竹叶青中国茶X三星堆博物馆“绿茶中的珍品”公关营销传播项目,3.1
230,41104,丈量山河·探秘珠峰 国窖1573世界第三极挑战之旅,3.1
231,41082,从萌新到爆卖，AI帮助石头改写德国洗护市场格局,3.1
232,41016,2025卡骆驰檀健次代言人官宣项目,3.1
233,40836,京东超市：你不知道的家乡好味,3.1
234,40745,To the Greatness of Her 永不失色的她,3.1
235,40717,横向运营纵向提升，助力七猫免费小说快速实现「量效」提升,3.1
236,40716,伊利：过年搭子玩转年度国风悬疑IP,3.1
237,40713,电子布洛芬,3.1
238,40324,“贝壳找房”提升存量用户价值纵横有术,3.1
239,40307,从时代眼泪到国民新宠，森马高洁净羽绒服在小红书走红,3.1
240,40255,我与香港，就是帧帧瞬间,3.1
241,39913,定格美好，不负此刻美「利」,3.1
242,39886,让沙宣介绍沙宣,3.1
243,39770,从老外变老内，看埃文·凯尔如何用夸克AI玩转中国广州行,3.1
244,39528,我在古代开星巴克,3.1
245,39521,汉堡王，即食引力计划,3.1
246,39398,AI玩大奖赛,3.1
247,39300,内容+互动，伊利携手抖音借“红包+短剧”击穿用户心智，完成全渠道营销+生意共振,3.1
248,39237,乡村文旅转型的宠客密码-司徒小镇玩活非遗文化,3.1
249,39151,从AWE联动到电音跨界：格力如何通过抖音为品牌打开新增量,3.1
250,39140,支付宝CNY——支付宝到账：新年快乐,3.1
251,39137,学而思网校0-100的电商化弯道超车,3.1
252,39077,安佳全新风味芝士片，产品0→1小红书全链路传播,3.1
253,39048,德芙春节营销：芙⽓相传，年年得福,3.1
254,38941,麦当劳2025麦麦农场年历设计,3.1
255,38890,伊利x抖音《携手热爱 伊起向巴黎》奥运营销项目,3.1
256,41990,最不显眼的促销 - THE BARELY NOTICEABLE PROMOTIO,3.1
257,41896,味全每日C-「维」护精神世界和平,3.1
258,41704,2024名创优品全球盲盒节，掀起一场年末「 想开」情绪狂欢,3.1
259,40872,2025肯德基新春宝可梦玩具营销推广活动,3.1
260,42008,从沙漠到城市：NIKE × 小红书共创户外新叙事，以野行逆袭红海市场,3.0
261,41945,从一万人的线下体验到5000万人的精神向往，始祖鸟在小红书开设山地课堂,3.0
262,41930,UNI-V X 长安的荔枝 热点IP营销,3.0
263,41917,阿华田万圣节不给饼干就捣蛋,3.0
264,41653,“小范大人开超市”京东超市X庆余年娱乐营销案例,3.0
265,41639,吃喝碰一下 百事就可乐,3.0
266,41564,《早点行动》莫雷加德 × 优衣库生活运动系列,3.0
267,41549,洋河·梦之蓝M6+ - 梦的种子-逐梦苍穹，共筑航天梦,3.0
268,41402,《外卖，黄的更灵》,3.0
269,41319,巴黎欧莱雅CNY整合营销,3.0
270,41222,茉莉奶白×派芽-2025蛇年小红杯新品营销：新春喝红杯，蛇年接好运,3.0
271,41111,多圈内容种草 助力礼遇季突破,3.0
272,40835,「无话不说好自在」欣妈富隆X美团买药联合传播项目,3.0
273,40721,《2025点点麦当劳》——麦当劳与小狗蛇点点跨年营销,3.0
274,40703,从农民到产业工人，一群农夫的共同致富之路,3.0
275,40662,百奇棒！万物皆可棒！,3.0
276,40441,金典 x 乌尔善《至上之白》,3.0
277,40333,京东《暖冬季小家电》,3.0
278,40124,情感化交互设计 瑞士莲电商场景焕新重塑高端体验,3.0
279,40022,巳巳如意年，开门娃哈哈,3.0
280,39612,波司登×哈尔滨：“好暖”IP撬动城市文旅与品牌双赢 ,3.0
281,39432,上汽大众全链营销 2.0：三效协同解锁体育大年汽车品效新增长,3.0
282,39244,卫龙榴莲辣条新品上市整合营销项目,3.0
283,39224,资生堂X红猫计划种收一体价值验证,3.0
284,41899,奥迪quattro 45周年×惊蛰节气创意视频：雷打不动的，都被quattro打,2.9
285,41893,《自然给你点颜色看看》,2.9
286,41654,AI赋能口碑营销助力a2®儿童奶粉新品上市,2.9
287,41332,兰蔻超修小黑瓶焕新整合营销,2.9
288,41282,宝矿力水特2025年【尽享每刻】广告片推广营销,2.9
289,40843,捷途场景化价值穿透：以“旅行+场景营销”重塑海外用户心智,2.9
290,40820,Columbia玩徒派对：以音乐为媒，重塑徒步社交新体验,2.9
291,40659,5G赋能盲盒旅行，中国移动打造综艺合作新范例,2.9
292,40478,飞鲨成功破局 从0到1的跨越与行业TOP之路,2.9
293,40111,中秋团缘夜｜缘启茅台醇 · AI赋雅韵,2.9
294,39738,腾讯游戏×快手可灵AI：原来ta也打TiMi,2.9
295,39444,广汽本田雅阁@懂车帝Y24.Q4“万里纵擎”整合营销项目,2.9
296,39250,宏宇陶瓷「短剧」引力场：引爆行业的流量炼金术,2.9
297,39162,《Dou来欧洲杯“信”就是冠军》,2.9
298,41889,高梵全域品效联投促进高价值新客翻倍增长,2.8
299,41634,京东买药X江中 职场微调养肠节,2.8
300,41264,在英迪格酒店，住进【邻间文化】——英迪格酒店用“代言人+微综”模式，种下品牌长效,2.8
301,40978,茉莉奶白×派芽-2025蛇年小红杯新品营销 ：新春喝红杯，蛇年接好运,2.8
302,40799,828 B2B企业节营销,2.8
303,40766,小红书地球村,2.8
304,40482,香奈儿X 鲸鸿动能 2024年新品上市营销案例 ,2.8
305,40358,京东破局战之纵横谋划,2.8
306,40341,哔哩哔哩：双线并进,多点开花,2.8
307,39961,搜狐视频X鲸鸿动能激活用户新增长,2.8
308,39744,乌苏啤酒《烧烤篇》《便利店篇》《电梯篇》,2.8
309,39405,奔赴山海，与潮共生——小红书破解运动户外行业「新潮向」,2.8
310,41555,听见·值得之夜,2.7
311,41354,KFC奥运夜宵档：全民奥运直播间里的共餐时刻,2.7
312,41284,百威：“蜕过去，敬焕新”x 2024《最美的夜》哔哩哔哩·跨年晚会整合营销体验,2.7
313,40318,小红书早知道大会，来源于B端的生意需求，驱动四方共赢,2.7
314,39939,奥迪，突破科技·启「迪」未来,2.7
315,40607,胡姬花“反压榨”情感营销引爆市场,2.7
316,39328,抖音非遗节内容联动，让好莱客品牌确定性营销,2.6
317,40361,邂逅艺术 遇见更好丨特仑苏·多彩艺术限定装,2.5
318,40359,埃尔奥拉旅游局：低调蜕变，惊艳升咖,2.3
319,41018,有圆就有小圆满,2.0
320,40685,肯德基炸鸡大亨,1.2
